Price($),Brand,Model,Year,Title_Status,Mileage,Color,Vin,Lot,State,Country,Time_Left_Hours,Time_Left_Days
6300,Toyota,Cruiser,2008,Clean Vehicle,274117,Black,  Jtezu11F88K007763,159348797,New Jersey, USA,240.0,10.0
2899,Ford,SE,2011,Clean Vehicle,190552,Silver,  2Fmdk3Gc4Bbb02217,166951262,Tennessee, USA,144.0,6.0
5350,Dodge,MPV,2018,Clean Vehicle,39590,Silver,  3C4Pdcgg5Jt346413,167655728,Georgia, USA,48.0,2.0
25000,Ford,Doors,2014,Clean Vehicle,64146,Blue,  1Ftfw1Et4Efc23745,167753855,Virginia, USA,22.0,0.92
27700,Chevrolet,1500,2018,Clean Vehicle,6654,Red,  3Gcpcrec2Jg473991,167763266,Florida, USA,22.0,0.92
5700,Dodge,MPV,2018,Clean Vehicle,45561,White,  2C4Rdgeg9Jr237989,167655771,Texas, USA,48.0,2.0
7300,Chevrolet,Pickup,2010,Clean Vehicle,149050,Black,  1Gcsksea1Az121133,167753872,Georgia, USA,22.0,0.92
13350,GMC,Doors,2017,Clean Vehicle,23525,Gray,  1Gks2Gkc3Hr326762,167692494,California, USA,20.0,0.83
14600,Chevrolet,Malibu,2018,Clean Vehicle,9371,Silver,  1G1Zd5St5Jf191860,167763267,Florida, USA,22.0,0.92
5250,Ford,MPV,2017,Clean Vehicle,63418,Black,  2Fmpk3J92Hbc12542,167656121,Texas, USA,48.0,2.0
10400,Dodge,Coupe,2009,Clean Vehicle,107856,Orange,  2B3Lj54T49H509675,167753874,Georgia, USA,22.0,0.92
12920,GMC,MPV,2017,Clean Vehicle,39650,White,  1Gks2Bkc6Hr136280,167692496,California, USA,20.0,0.83
31900,Chevrolet,1500,2018,Clean Vehicle,22909,Black,  3Gcukrec0Jg176059,167763273,Tennessee, USA,22.0,0.92
5430,Chrysler,Wagon,2017,Clean Vehicle,138650,Gray,  2C4Rc1Cg5Hr616095,167656123,Texas, USA,48.0,2.0
20700,Ford,Doors,2013,Clean Vehicle,100757,Black,  1Ftfw1Et7Dfa47790,167753916,Virginia, USA,22.0,0.92
12710,GMC,Doors,2017,Clean Vehicle,25747,White,  1Gks2Gkc6Hr328389,167692497,California, USA,20.0,0.83
5200,KIA,Forte,2018,Clean Vehicle,46194,Blue,  3Kpfk4A77Je198723,167801757,North Carolina, USA,48.0,2.0
16500,Buick,Encore,2018,Clean Vehicle,20002,Red,  Kl4Cj1Sb6Jb688844,167763275,Tennessee, USA,22.0,0.92
5210,Ford,MPV,2017,Clean Vehicle,35714,White,  2Fmpk3J95Hbb73607,167656124,Texas, USA,48.0,2.0
38100,Ford,Doors,2013,Clean Vehicle,54380,Gray,  1Ft8W3Dt5Deb68569,167753923,Virginia, USA,22.0,0.92
12520,GMC,Doors,2017,Clean Vehicle,30114,White,  1Gks2Gkcxhr328380,167692498,California, USA,20.0,0.83
7300,KIA,Forte,2018,Clean Vehicle,38823,Black,  3Kpfl4A79Je272611,167801773,North Carolina, USA,48.0,2.0
15000,Chevrolet,Doors,2015,Clean Vehicle,61578,Black,  2Gnflhe33F6214023,167763280,Ohio, USA,48.0,2.0
6180,Ford,MPV,2017,Clean Vehicle,46010,Blue,  2Fmpk3J84Hbc09276,167656125,Texas, USA,48.0,2.0
20800,Ford,Doors,2013,Clean Vehicle,105510,Silver,  1Ftfw1Efxdfa01008,167753937,Virginia, USA,22.0,0.92
11900,GMC,Doors,2017,Clean Vehicle,28040,Silver,  1Gks2Gkc2Hr327918,167692503,California, USA,20.0,0.83
21500,KIA,Sorento,2020,Clean Vehicle,11451,Blue,  5Xypg4A59Lg616029,167801828,North Carolina, USA,48.0,2.0
12000,Buick,Doors,2014,Clean Vehicle,31039,Brown,  1G4Ps5Sk1E4188639,167763299,Ohio, USA,48.0,2.0
4190,Ford,Doors,2017,Clean Vehicle,44174,White,  1Fadp5Auxhl109013,167656126,Texas, USA,48.0,2.0
13000,Ford,Chassis,2008,Clean Vehicle,93698,White,  1Fdwf37R28Eb95687,167754098,Tennessee, USA,22.0,0.92
12710,GMC,Doors,2017,Clean Vehicle,26364,Silver,  1Gks2Gkc6Hr326335,167692504,California, USA,20.0,0.83
